Plot,Plot,,
2967,0.02,14.835,0
2967,0.03,14.835,0
2967,0.04,14.835,0
2967,0.05,14.835,0
2967,0.06,14.835,0
2967,0.07,14.835,0
2967,0.08,14.835,0
2967,0.09,14.835,0
2967,0.1,14.835,0
2967,0.11,14.835,0
2967,0.12,14.835,0
2967,0.13,14.835,0
2967,0.14,14.835,0
2967,0.15,14.835,0
2967,0.16,14.835,0
2967,0.17,14.835,0
2967,0.18,14.835,0
2967,0.19,14.835,0
2967,0.2,14.835,0
2967,0.21,14.835,0
2967,0.22,14.835,0
2967,0.23,14.835,0
2967,0.24,14.835,0
2967,0.25,14.835,0
2967,0.26,14.835,0
2967,0.27,14.835,0
2967,0.28,14.835,0
2967,0.29,14.835,0
2967,0.3,14.835,0
2967,0.31,14.835,0
2967,0.32,14.835,0
2967,0.33,14.835,0
2967,0.34,14.835,0
2967,0.35,14.835,0
2967,0.36,14.835,0
2967,0.37,14.835,0
2967,0.38,14.835,0
2967,0.39,14.835,0
2967,0.4,14.835,0
2967,0.41,14.835,0
2967,0.42,14.835,0
2967,0.43,14.835,0
2967,0.44,14.835,0
2967,0.45,14.835,0
2967,0.46,14.835,0
2967,0.47,14.835,0
2967,0.48,14.835,0
2967,0.49,14.835,0
2967,0.5,14.835,0
2967,0.51,14.835,0
2967,0.52,14.835,0
2967,0.53,14.835,0
2967,0.54,14.835,0
2967,0.55,14.835,0
2967,0.56,14.835,0
2967,0.57,14.835,0
2967,0.58,14.835,0
2967,0.59,14.835,0
2967,0.6,14.835,0
2967,0.61,14.835,0
2967,0.62,14.835,0
2967,0.63,14.835,0
2967,0.64,14.835,0
2967,0.65,14.835,0
2967,0.66,14.835,0
2967,0.67,14.835,0
2967,0.68,14.835,0
2967,0.69,14.835,0
2967,0.7,14.835,0
2967,0.71,14.835,0
2967,0.72,14.835,0
2967,0.73,14.835,0
2967,0.74,14.835,0
2967,0.75,14.835,0
2967,0.76,14.835,0
2967,0.77,14.835,0
2967,0.78,14.835,0
2967,0.79,14.835,0
2967,0.8,14.835,0
2967,0.81,14.835,0
2967,0.82,14.835,0
2967,0.83,14.835,0
2967,0.84,14.835,0
2967,0.85,14.835,0
2967,0.86,14.835,0
2967,0.87,14.835,0
2967,0.88,14.835,0
2967,0.89,14.835,0
2967,0.9,14.835,0
2967,0.91,14.835,0
2967,0.92,14.835,0
2967,0.93,14.835,0
2967,0.94,14.835,0
2967,0.95,14.835,0
2967,0.96,14.835,0
2967,0.97,14.835,0
2967,0.98,14.835,0
2967,0.99,14.835,0
2967,1,14.835,0
2967,1.01,14.835,0
2967,1.02,14.835,0
2967,1.03,14.835,0
2967,1.04,14.835,0
2967,1.05,14.835,0
2967,1.06,14.835,0
2967,1.07,14.835,0
2967,1.08,14.835,0
2967,1.09,14.835,0
2967,1.1,14.835,0
2967,1.11,14.835,0
2967,1.12,14.835,0
2967,1.13,14.835,0
2967,1.14,14.835,0
2967,1.15,14.835,0
2967,1.16,14.835,0
2967,1.17,14.835,0
2967,1.18,14.835,0
2967,1.19,14.835,0
2967,1.2,14.835,0
2967,1.21,14.835,0
2967,1.22,14.835,0
2967,1.23,14.835,0
2967,1.24,14.835,0
2967,1.25,14.835,0
2967,1.26,14.835,0
2967,1.27,14.835,0
2967,1.28,14.835,0
2967,1.29,14.835,0
2967,1.3,14.835,0
2967,1.31,14.835,0
2967,1.32,14.835,0
2967,1.33,14.835,0
2967,1.34,14.835,0
2967,1.35,14.835,0
2967,1.36,14.835,0
2967,1.37,14.835,0
2967,1.38,14.835,0
2967,1.39,14.835,0
2967,1.4,14.835,0
2967,1.41,14.835,0
2967,1.42,14.835,0
2967,1.43,14.835,0
2967,1.44,14.835,0
2967,1.45,14.835,0
2967,1.46,14.835,0
2967,1.47,14.835,0
2967,1.48,14.835,0
2967,1.49,14.835,0
2967,1.5,14.835,0
2967,1.51,14.835,0
2967,1.52,14.835,0
2967,1.53,14.835,0
2967,1.54,14.835,0
2967,1.55,14.835,0
2967,1.56,14.835,0
2967,1.57,14.835,0
2967,1.58,14.835,0
2967,1.59,14.835,0
2967,1.6,14.835,0
2967,1.61,14.835,0
2967,1.62,14.835,0
2967,1.63,14.835,0
2967,1.64,14.835,0
2967,1.65,14.835,0
2967,1.66,14.835,0
2967,1.67,14.835,0
2967,1.68,14.835,0
2967,1.69,14.835,0
2967,1.7,14.835,0
2967,1.71,14.835,0
2967,1.72,14.835,-0.25
2967,1.73,14.835,-0.75
2967,1.74,14.83,-1
2967,1.75,14.82,-1
2967,1.76,14.81,-1.25
2967,1.77,14.8,-1.5
2967,1.78,14.785,-1.5
2967,1.79,14.77,-1.5
2966,1.8,14.755,-1.5
2964,1.81,14.74,-1.75
2962,1.82,14.725,-1.75
2960,1.83,14.705,-1.5
2957,1.84,14.69,-1.5
2954,1.85,14.675,-1.5
2951,1.86,14.66,-1.5
2948,1.87,14.645,-1.5
2945,1.88,14.63,-1.5
2941,1.89,14.615,-1.75
2938,1.9,14.6,-1.75
2935,1.91,14.58,-1.75
2932,1.92,14.565,-2
2929,1.93,14.545,-2
2926,1.94,14.525,-2
2923,1.95,14.505,-2.25
2920,1.96,14.485,-2.25
2916,1.97,14.46,-2.25
2913,1.98,14.44,-2.5
2909,1.99,14.415,-2.5
2905,2,14.39,-2.5
2901,2.01,14.365,-2.5
2897,2.02,14.34,-2.5
2892,2.03,14.315,-2.75
2888,2.04,14.29,-2.75
2883,2.05,14.26,-2.75
2878,2.06,14.235,-2.75
2873,2.07,14.205,-2.5
2868,2.08,14.18,-2.75
2863,2.09,14.155,-2.75
2858,2.1,14.125,-2.75
2852,2.11,14.1,-2.75
2847,2.12,14.07,-2.75
2841,2.13,14.045,-3
2836,2.14,14.015,-2.75
2831,2.15,13.985,-2.75
2825,2.16,13.96,-2.75
2820,2.17,13.93,-2.75
2814,2.18,13.905,-3
2809,2.19,13.875,-2.75
2803,2.2,13.845,-2.75
2797,2.21,13.82,-3
2792,2.22,13.79,-2.75
2786,2.23,13.76,-2.75
2781,2.24,13.735,-2.75
2775,2.25,13.705,-2.75
2769,2.26,13.68,-2.75
2764,2.27,13.65,-2.5
2758,2.28,13.625,-2.5
2752,2.29,13.6,-2.5
2747,2.3,13.575,-2.5
2741,2.31,13.55,-2.25
2736,2.32,13.525,-2.25
2730,2.33,13.505,-2.25
2725,2.34,13.48,-2.25
2720,2.35,13.46,-2.25
2715,2.36,13.435,-2.25
2710,2.37,13.415,-2.25
2705,2.38,13.39,-2.25
2701,2.39,13.37,-2.25
2696,2.4,13.345,-2.25
2692,2.41,13.325,-2.25
2687,2.42,13.3,-2.25
2683,2.43,13.28,-2.25
2678,2.44,13.255,-2
2674,2.45,13.235,-2
2669,2.46,13.215,-1.75
2665,2.47,13.195,-1.75
2660,2.48,13.18,-2
2656,2.49,13.16,-2
2651,2.5,13.14,-2
2647,2.51,13.12,-1.75
2643,2.52,13.1,-1.75
2639,2.53,13.085,-2
2636,2.54,13.065,-2
2632,2.55,13.045,-1.75
2628,2.56,13.025,-1.75
2624,2.57,13.01,-2
2620,2.58,12.99,-1.75
2617,2.59,12.97,-1.75
2613,2.6,12.955,-2
2609,2.61,12.935,-2
2605,2.62,12.915,-2
2602,2.63,12.895,-2.25
2598,2.64,12.875,-2.25
2594,2.65,12.85,-2.25
2591,2.66,12.83,-2.5
2587,2.67,12.805,-2.25
2583,2.68,12.78,-2.25
2579,2.69,12.76,-2.5
2575,2.7,12.735,-2.5
2570,2.71,12.71,-2.25
2566,2.72,12.685,-2
2561,2.73,12.665,-2
2556,2.74,12.645,-2
2552,2.75,12.625,-2
2547,2.76,12.605,-2.25
2542,2.77,12.585,-2.25
2537,2.78,12.56,-2
2533,2.79,12.54,-2
2529,2.8,12.52,-2
2525,2.81,12.5,-2
2521,2.82,12.48,-1.75
2517,2.83,12.46,-1.75
2512,2.84,12.445,-2
2508,2.85,12.425,-2
2504,2.86,12.405,-1.75
2500,2.87,12.385,-1.75
2496,2.88,12.37,-2
2492,2.89,12.35,-2
2489,2.9,12.33,-2
2485,2.91,12.31,-2
2481,2.92,12.29,-1.75
2477,2.93,12.27,-1.75
2474,2.94,12.255,-1.75
2470,2.95,12.235,-1.75
2466,2.96,12.22,-2
2462,2.97,12.2,-1.75
2458,2.98,12.18,-1.75
2454,2.99,12.165,-2
2451,3,12.145,-1.75
2447,3.01,12.125,-1.75
2444,3.02,12.11,-1.75
2440,3.03,12.09,-1.75
2436,3.04,12.075,-2
2433,3.05,12.055,-2
2429,3.06,12.035,-2
2425,3.07,12.015,-2
2422,3.08,11.995,-2
2418,3.09,11.975,-2.25
2415,3.1,11.955,-2.25
2411,3.11,11.93,-2
2407,3.12,11.91,-2
2403,3.13,11.89,-2
2399,3.14,11.87,-2
2395,3.15,11.85,-2.25
2391,3.16,11.83,-2.25
2386,3.17,11.805,-2
2382,3.18,11.785,-2
2378,3.19,11.765,-2
2374,3.2,11.745,-2.25
2370,3.21,11.725,-2.25
2366,3.22,11.7,-2
2361,3.23,11.68,-2.25
2357,3.24,11.66,-2.25
2353,3.25,11.635,-2.25
2349,3.26,11.615,-2.5
2345,3.27,11.59,-2.5
2340,3.28,11.565,-2.5
2336,3.29,11.54,-2.5
2332,3.3,11.515,-2.5
2327,3.31,11.49,-2.5
